Time,dummy,smooth,gdp_statevar,gdp_qnq,debtgdp_ratio_dummy,cpi_ons_qtr,cpi_cloyne_qtr,inf_cpi_ons_qtr,inf_cpi_cloyne_qtr,cpi_log_cloyne_qtr,GDP_index(ONS),GDP_index(cloyne),GDP_log_level(cloyne),Shock,TBILL,bank_rate,consumption_household,consumption_loglevel,gini_tcon,gini_ndcon,gini_inc,gini_wage,inc_p1,inc_p2,inc_p3,inc_p4,inc_p5,wage_p1,wage_p2,wage_p3,wage_p4,wage_p5,house_avg_price_log,hpi_log
01/02/1991,0,0.003852208,-0.67,-0.5,1,57.698,74.27269,0.4159589587160768,0.9485680402850615,4.307743320225521,312596,231383,12.351829625182981,0.6565469596156852,11.5625,13.167,135949,11.820035094388105,0.31096990000000235,0.29706480000000207,0.3290759000000006,0.35843690000000167,6.841021382,7.367585695,7.749046419,8.079585156,8.499843863,6.629505926,7.559775067,7.987509577,8.330818264,8.765459292,10.95231,3.3992
01/05/1991,0,0.000736009,-0.87,-0.1,1,60.263,76.654369,4.256343029719725,3.1070362082036125,4.3393066030411065,312235,230609,12.348478914676488,0.22989160804804776,10.7188,11.667,134414,11.808679868312883,0.30522770000000154,0.2913407000000023,0.3186918,0.37194460000000007,6.90908025,7.405992161991531,7.7932315211973195,8.106588359,8.496169104,6.619468666,7.533540618,7.97093354,8.336912711,8.784602135,10.94822,3.39518
01/08/1991,0,0.0047353,-0.645,-0.2,1,60.794,77.707093,0.8734414580386203,1.3547334733008192,4.352946540208484,311624,229923,12.345499749244429,-0.087192621,9.6875,10.833,134665,11.810545491960967,0.30361740000000065,0.2939061000000027,0.31283710000000176,0.36543140000000157,6.90438171,7.414154518,7.787437652,8.094326575,8.491203287,6.576663369,7.520156293,7.98578909,8.34391864,8.789211195,10.96749,3.41444
01/11/1991,1,0.016234463532614537,-0.495,0.1,1,61.484,78.75967,1.1222431852189265,1.3364416077416263,4.366401063818013,312006,230595,12.34841820401481,0,10.125,10.5,133979,11.805438350233837,0.31143589999999993,0.30317390000000183,0.32123090000000304,0.3691712,6.85842975,7.395242382,7.767417567,8.079219099868281,8.493645162301199,6.545125315,7.515435884,7.969471341,8.316026905,8.801842448,10.95841,3.40519
01/02/1992,0,0.044454162,-0.37,0,1,61.717,79.454812,0.37752969198113484,0.8748897423607321,4.375188457542613,311904,231898,12.354052898799361,0,10.25,10.5,133825,11.804288255261582,0.3282891000000015,0.3079895000000005,0.3252184000000019,0.37476470000000006,6.823710801,7.279541705,7.677198332,8.009817739,8.411245158,6.540384426867501,7.4825519621769505,7.952793093,8.319591572227061,8.791899545,10.94207,3.38912
01/05/1992,0,0.036435019,-0.395,-0.2,1,62.848,79.931224,1.799579938900204,0.5960274047598674,4.381166564919903,311418,232154,12.355156223538698,-0.431577995,9.4375,10.167,136528,11.824285000776365,0.33577770000000245,0.3161025000000026,0.3272480999999999,0.3792097,6.791302963,7.25113133,7.654597825,7.980942155113899,8.405503344392809,6.5070657086799395,7.472869761,7.962622319035059,8.313159698,8.776061551,10.9181,3.36488
01/08/1992,1,0.13894123759559557,-0.22,0.5,1,62.722,80.278423,-0.200886451,0.4324935481106839,4.38550088,312896,234152,12.363725756108414,-0.486767769,8.3125,9.667,138442,11.838206744336636,0.31999109999999986,0.3006478000000024,0.3259635,0.37716830000000034,6.836467969,7.286428123,7.685849623,8.022297312,8.439613823,6.621384943,7.534996747008551,7.9875435347119295,8.359715617,8.852032226,10.92103,3.36799
01/11/1992,1,0.4077888450084491,-0.045,0.8,1,63.12,80.85233,0.6305449936628583,0.7098212259312642,4.392624404408109,315307,236250,12.37264584535599,-1.047484269,6.5313,7.333,139102,11.842962755953389,0.3170076,0.30122800000000177,0.32585590000000053,0.3561900000000023,6.812532279,7.26440618,7.6659921070077495,7.9758066736758595,8.407845271,6.607878455,7.555691342,8.004879559,8.354503795,8.786692696,10.88206,3.32899
01/02/1993,1,0.6600042889320981,0.08,0.5,0,63.183,81.279536,0.099710365,0.5256009335486342,4.397894275,316882,238726,12.383071729729936,-0.805569161,5.5313,6,140590,11.853603132073953,0.3156281000000025,0.30816850000000134,0.3239897000000004,0.3706786000000001,6.824158505,7.287964921898269,7.685083031,8.011592665410431,8.421521724,6.638821983,7.554145055,8.012751576,8.366026484,8.840183337,10.88714,3.33399
01/05/1993,1,0.8706846458887666,0.23000000000000004,0.4,0,64.402,81.910504,1.8927983602993714,0.7703139025979012,4.405627236603441,318302,240363,12.389905559648057,0,5.3438,6,141236,11.85818752905222,0.3344641000000031,0.31545400000000184,0.32274840000000304,0.37032409999999993,6.833418901381339,7.286368931109959,7.663877498,7.981948377,8.406249821,6.637085327,7.533569441593531,7.986791242,8.341557616,8.811092316,10.89522,3.34215
01/08/1993,1,0.9391273712472062,0.33,0.9,0,64.514,82.526152,0.17360572898904855,0.7460035214049398,4.413115237048066,321218,242825,12.400096298270531,0,5.2188,6,143835,11.876422088255891,0.3198502,0.30804050000000077,0.3263636999999999,0.3629979000000026,6.826931184,7.262542685370841,7.6574506019479704,7.991703017,8.417964108,6.664803378,7.545133950552799,7.9794618491911695,8.3503592,8.813447725435239,10.91612,3.36315
01/11/1993,1,0.9261419201165699,0.305,0.7,0,64.652,82.833843,0.2134504733032315,0.37145566215007736,4.41683671,323400,245157,12.409654100618287,-0.31813753,5,5.667,144947,11.884123437343623,0.31937580000000243,0.3123149,0.32903100000000074,0.37295750000000005,6.841298791,7.258525971,7.653910652,7.9811973080708105,8.409939421087019,6.611687749,7.529260918,8.003098163303859,8.385164766,8.833896794,10.89722,3.34427
